word	definition	language
importunate	troublesomely urgent, persistent	English
strenuous	(adj) requiring or using great effort or exertion	English
virtuosity	(n) great skill in music or another artistic pursuit	English
exorcise	(v) drive out or attempt to drive out (a supposed evil spirit) from a person or place	English
envoy	(n) a messenger or representative, especially one on a diplomatic mission	English
eschew	(v) avoid sth not right for	English
zeal for	(n) someone's interest in something	English
investiture	(n) a ceremony in which someone is given an official rank, authority, power, etc.	English
summon	(v) to ask someone to present at a particular event	English
homage	(n) special honour or respect shown publicly	English
verbatim	in exactly the same words as were used originally	English
strangle	to kill someone by pressing their throat so that they can not breath	English
Evangelism	Evangelism is the proclamation of the Gospel of Jesus Christ, aiming to bring individuals to faith and salvation, often working hand-in-hand with discipleship and missions.	English
blacklash	strong negative reaction by a large number of people	English
expropriate	(v)(of the state) take property from its owner for public use	English
酱 油	Đây là nước tương.	Chinese
剥 鸡 蛋 皮	Tôi muốn bóc vỏ trứng.	Chinese
捞	muỗng	Chinese
换 衣 服	Thay quần áo	Chinese
紫 薯	Và đây là khoai lang tím.	Chinese
鸡 胸 肉	Đây là ức gà.	Chinese
治 愈	Từ "chữa lành, chữa lành, chữa lành" có nghĩa là gì?	Chinese
一 点	Dần dần	Chinese
好 香	Mùi thơm quá!	Chinese
预 热	Làm nóng trước	Chinese
壶 嘴	Chúng ta sẽ gọi đây là vòi.	Chinese
很 干	Mỗi sáng thức dậy, cổ họng tôi đều rất khô.	Chinese
用 工 作	Không làm việc vào Chủ nhật	Chinese
aforementioned	denoting a thing or person previously mentioned	English
买东西	Go shopping (mǎi dōng xi)	Chinese
试穿衣服	Try on clothes (shì chuān yī fú)	Chinese
退货	Return goods (tuì huò)	Chinese
打折	Discount (dǎ zhé)	Chinese
会员卡	Membership card (huì yuán kǎ)	Chinese
信用卡	Credit card (xìn yòng kǎ)	Chinese
现金	Cash (xiàn jīn)	Chinese
支付宝	Alipay (zhī fù bǎo)	Chinese
礼品包装	Gift wrapping (lǐ pǐn bāo zhuāng)	Chinese
购物车	Shopping cart (gòu wù chē)	Chinese
购物袋	Shopping bag (gòu wù dài)	Chinese
价格标签	Price tag (jià gé biāo qiān)	Chinese
试衣间	Fitting room (shì yī jiān)	Chinese
购物中心	Shopping mall (gòu wù zhōng xīn)	Chinese
促销活动	Promotional event (cù xiāo huó dòng)	Chinese
购物清单	Shopping list (gòu wù qīng dān)	Chinese
退换货	Exchange goods (tuì huàn huò)	Chinese
购物网站	Shopping website (gòu wù wǎng zhàn)	Chinese
购物体验	Shopping experience (gòu wù tǐ yàn)	Chinese
购物狂	Shopaholic (gòu wù kuáng)	Chinese
吃饭	Eat a meal (chī fàn)	Chinese
睡觉	Go to sleep (shuì jiào)	Chinese
看电影	Watch a movie (kàn diàn yǐng)	Chinese
上班	Go to work (shàng bān)	Chinese
打电话	Make a phone call (dǎ diàn huà)	Chinese
做作业	Do homework (zuò zuò yè)	Chinese
买东西	Go shopping (mǎi dōng xi)	Chinese
开车	Drive a car (kāi chē)	Chinese
下雨	It's raining (xià yǔ)	Chinese
喝茶	Drink tea (hē chá)	Chinese
吃早餐	Eat breakfast (chī zǎo cān)	Chinese
喝咖啡	Drink coffee (hē kā fēi)	Chinese
看书	Read a book (kàn shū)	Chinese
写信	Write a letter (xiě xìn)	Chinese
听音乐	Listen to music (tīng yīn yuè)	Chinese
运动	Exercise (yùn dòng)	Chinese
学习	Study (xué xí)	Chinese
旅游	Travel (lǚ yóu)	Chinese
买票	Buy a ticket (mǎi piào)	Chinese
打扫	Clean up (dǎ sǎo)	Chinese
temper tantrums	unpleasant and disruptive behaviours of children	English
buttocks	bottom (human body)	English
colossal	extremely large	English
hog	n. a pig esp. one allowed to grow large so that it can be used as food	English
table	to delay discussion of a subject	English
appeasement	the act of giving the opposing side in an argument or war an advantage that they have demanded, in order to prevent further disagreement :	English
condemn	to criticize strongly for moral reason	English
partiality	the fact of unfairly preferring or approving of something	English
debunk	prove to be false	English
buttress	support	English
moment	importance	English
adjudicate	judge	English
telling	significant	English
lacerate	distress deeply	English
rebuke	critize severely	English
refute	disprove	English
rudimentary	basic	English
unforthcoming	not cooperative	English
catalysm	violent upheaval	English
squelch	suppress	English
elicit	call forth	English
immaterial	irrelevant	English
dispassionate	objective	English
cardinal	most important	English
assuage	make less severe	English
complacent	contented to a fault	English
untenable	indefensible. (Example: with the combination of Kepler's brillian theories and Galileo's telescopic observations, the old geocentric theory became (blank) to most of the educated people in Europe.)	English
vitriolic	hash in tone	English
credence	belief	English
bromide	unoriginal remark	English
irresolute	uncertain how to act	English
inadvertent	unintentional	English
incriminate	to make someone seem guilty, especially of a crime	English
disabuse	lead one from error. As a child, I was quickly (blank) of the notion that Santa Claus was a rotund benefactor of infinite largess	English
approbatory	showing approval. Although it might not be her best work, Hunter's new novel has received generally approbatory reviews.	English
wanting	lacking. She did not think her vocabulary was (blank), yet there were so many words that inevitably she found a few she didn't know	English
genial	aggreable	English
hobble	hold back	English
deleterious	harmful	English
indict	accuse formally	English
reproach	criticize	English
hedge	limit a statement (when asked why he had decided to buy millions of share at the very moment the tech companies stock soared, the CEO hedged, mentioning something vague about gut instinct)	English
brusquely	bluntly	English
blunt	insensitive	English
discursive	tangential	English
snub	reject bluntly	English
impugn	call into question (Though many initially tried to ... Darwin's theory, in scientific circles today, the idea is taken as truth)	English
inclement	lacking mercy (the judge, ... as always gave the prisoner, despite all the tears, a full sentence)	English
imbroglio	confusing situation (The chef cook-off featured one gourmand who had the unfortunate distinction of mixing the wrong broths, creating an .. That diners would not soon forget)	English
